Room,Name,Actor,Item,Logic,Status,Comment,Aloha Comment,Aloha Suggested,Final Logic?
Forest 23,Forest 23 - Hati's Charge,Forest_001_Zone_023.EVT_ev_s_5210_Fenris_Upgrade,"aptitudes[""dash_charge""]",Forest23Left,Done,,good,,Forest23Left + EVT_ev_s_e6000_Rider_Defeat
Garden 1,Garden 1 - Charmed Fragment 1,Garden_001_Zone_001.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",(Garden01Right | Garden01Left) + (high_jump | (WALL_DASH + double_jump)),Not Labbed,,can WALL_DASH from garden02 thru garden09 without double_jump req.,,(Garden01Right | Garden01Left) + (high_jump | (WALL_DASH + double_jump))
Garden 1,Garden 1 - Charmed Fragment 2,Garden_001_Zone_001.BP_Interactable_AddItem_C_2,"stats[""hp_up_s""]","(Garden01Right + (high_jump | (double_jump + wall_grab + dodge))) 
| (Garden01Left + (high_jump | (double_jump + (dodge | WALL_DASH))))",Not Labbed,,"Added extra parenthesis to fix red...
Right can also access with dodge | WALL_DASH (ie. same as left currently, however...)
Left can access with just double_jump | dodge | WALL_DASH
leap of faith!","(Garden01Right + (high_jump | (double_jump + wall_grab + (dodge | wall_charge)))) 
| (Garden01Left + (high_jump | double_jump | dodge | WALL_DASH))","(Garden01Right + (high_jump | (double_jump + wall_grab + (dodge | wall_charge)))) 
| (Garden01Left + (high_jump | double_jump | dodge | WALL_DASH))"
Garden 1,Garden 1 - Materials,Garden_001_Zone_001.BP_Interactable_AddItem_C_4,"currencies[""Default""]","(Garden01Right + double_jump + wall_grab + pile_attack)
| (Garden01Left + pile_attack + (wall_grab | double_jump | dodge))",Not Labbed,,or high_jump!,"(Garden01Right + (high_jump | double_jump + wall_grab) + pile_attack)
| (Garden01Left + pile_attack + (high_jump | wall_grab | double_jump | dodge))","(Garden01Right + (high_jump | double_jump + wall_grab) + pile_attack)
| (Garden01Left + pile_attack + (high_jump | wall_grab | double_jump | dodge))"
Garden 1,Garden 1 - Bloodstained Stuffed Toy,Garden_001_Zone_001.BP_Interactable_TreasureBox_C_1,"passives[""damage_cut_debuffed_1""]","(Garden01Right + ((high_jump + (dodge | double_jump | (hook + wall_grab))) | (wall_grab + double_jump)) 
| (Garden01Left + ((high_jump + (dodge | double_jump | (hook + wall_grab))) | (wall_grab + (hook | double_jump | dodge)))))",Not Labbed,,"Added extra parenthesis to fix red...
Left can do it with just dodge | double_jump | (high_jump | hook) + wall_grab 
If you technically fall perfectly, do not need high_jump | hook from Left either

from right with high_jump + (dodge | double_jump | wall_grab)
from right with double_jump + wall_grab?","(Garden01Right + (high_jump + (dodge | double_jump | wall_grab) | (wall_grab + double_jump)) 
| (Garden01Left + (dodge | double_jump | ((high_jump | hook) + wall_grab))","Garden01Right + (high_jump + (dodge | double_jump | wall_grab) | wall_grab + double_jump) 
| Garden01Left + (dodge | double_jump | (high_jump | hook) + wall_grab)"
Garden 2,Garden 2 - Sorcerer's Gauntlet,Garden_001_Zone_002.BP_Interactable_TreasureBox_C_1,"passives[""debuff_damage_up_b_1""]","(Garden02Right + (high_jump | wall_grab))
| (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (Garden02LowerLeft_Lever + Garden02Left_Lever) + (high_jump | (hook + double_jump + wall_grab)))",Not Labbed,"There is a lever we could add that will skip hook requirement

Added this ^ comment into suggested logic... hard to explain though; I've currently dubbed it Center_Lever for reference

CenterLever may need to be defined somewhere if we expect it to be included in logic?

CenterLever Logic:
No requirements : Right
No requirements : LowerRight + LowerRight_LeftLever
LowerRight + LowerRight_RightLever + (high_jump | double_jump + wall_grab)
Left + Left_Lever + (high_jump | double_jump + wall_grab)
(Left | LowerLeft + LowerLeft_Lever) + Left_Lever + ((hook | wall_grab) + double_jump | hook + wall_grab + dodge)","Added Right Logic with wall_grab + (double_jump | dodge | WALL_DASH)
Left WITHOUT LowerLeft does not need hook in any circumstances (high_jump | double_jump + wall_grab are required and sufficient for that room)
Left WITH LowerLeft also supports hook + dodge + wall_grab
slightly changed order/grouping of lever requirements; left does NOT always require LowerLeft_Lever, scenarios have been split

NOTE, player is expected to return to respite; no pile_attack required","Shorthand Version:

ALL Combined ((Left | LowerLeft + LowerLeft_Lever) + Left_Lever + Center_Lever) | Right | LowerRight + (Right_Lever | Left_Lever) + (high_jump | wall_grab + (double_jump | dodge | WALL_DASH)))
Unique (Left with no Center_Lever): ((Left | LowerLeft) + LowerLeft_Lever + Left_Lever + (high_jump | ((hook + dodge | double_jump) + wall_grab)))
Unique (Left ONLY): (Left + Left_Lever + (high_jump | (double_jump + wall_grab)))

(((Garden02Left | Garden02LowerLeft + Garden02LowerLeft_Lever) + Garden02Left_Lever + Garden02Center_Lever) | Garden02Right | (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever)) + (high_jump | wall_grab + (double_jump | dodge | wall_charge)))
| ((Garden02Left | Garden02LowerLeft) + Garden02LowerLeft_Lever + Garden02Left_Lever + (high_jump | ((hook + dodge | double_jump) + wall_grab)))
| (Garden02Left + Garden02Left_Lever + (high_jump | (double_jump + wall_grab)))
","(Garden02Right | Garden02LowerRight + (Garden02LowerRightRight_Lever | Garden02LowerRightLeft_Lever)) + (high_jump | wall_grab + (double_jump | dodge | wall_charge))
| Garden02LowerLeft + Garden02LowerLeft_Lever + Garden02Left_Lever + (high_jump | (hook + dodge | double_jump) + wall_grab | Garden02Center_Lever)
| Garden02Left + Garden02Left_Lever + (high_jump | double_jump + wall_grab | Garden02LowerLeft_Lever + hook + dodge + wall_grab | Garden02Center_Lever)
"
Garden 2,Garden 2 - Chiron,Garden_001_Zone_002.BP_Interactable_TreasureBox_C_3,"assists[""assist_009""]","(Garden02Right | ((Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever) | (Garden02LowerRight + (Garden02LowerRightRight_Lever)))
 + (high_jump | (WALL_DASH + double_jump + dodge))",In Progress,,"Left & LowerLeft also require Left_Lever
otherwise seems good","Sigh why I do this; LIST of Garden2 Levers
C0 : is labeled 13 in screenshot; required for treasure box c1
C1: lever for Student1 door
C4 : lever to enter area for Student1 from vertical drop
C5 : lever for LowerRight Right side
C6 : dubbed ""CenterLever"" , supports unique Left scenarios
C7 : lever for LowerRight Left side
C8 : this lever required to enter from Left areas
C10: lever for C8 access
C11: lever for Student3 door
C12: lever for exiting LowerLeft","(Garden02Right | ((Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever) | (Garden02LowerRight + (Garden02LowerRightRight_Lever)))
 + (high_jump | (WALL_DASH + double_jump + dodge))"
Garden 3,Garden 3 - Grimoire,Garden_001_Zone_003.BP_Interactable_AddItem_C_1,"stats[""shop_line_up""]","(Garden03LeftUpper + (high_jump | (double_jump + (WALL_DASH | dodge))))
| (Garden03UpperLeft + (WALL_DASH | high_jump | (double_jump + dodge)))
| ((Garden03UpperRight | Garden03LeftLower) + (high_jump | (double_jump + dodge)))",Not Labbed,,seems good - cleaned up tiny formatting error (extra character),,"(Garden03LeftUpper + (high_jump | (double_jump + (WALL_DASH | dodge))))
| (Garden03UpperLeft + (WALL_DASH | high_jump | (double_jump + dodge)))
| ((Garden03UpperRight | Garden03LeftLower) + (high_jump | (double_jump + dodge)))"
Garden 3,Garden 3 - Arcane Smith's Musings,Garden_001_Zone_003.BP_Interactable_AddItem_C_2,"tips[""tip_engineermemoirs_01""]","Garden03UpperLeft 
| ((Garden03UpperRight | Garden03LeftUpper | Garden03LeftLower) + (high_jump | double_jump))",Not Labbed,,seems good,,"Garden03UpperLeft 
| ((Garden03UpperRight | Garden03LeftUpper | Garden03LeftLower) + (high_jump | double_jump))"
Garden 3,Garden 3 - Chronicles of Milius,Garden_001_Zone_003.BP_Interactable_AddItem_C_3,"tips[""tip_miliusbook_01""]","((Garden03LeftLower | (Garden03UpperRight) + (double_jump | high_jump))
| ((Garden03UpperLeft | Garden03LeftUpper) + ((WALL_DASH + dodge) | high_jump | double_jump)))",Not Labbed,,"WALL_DASH is sufficient from UpperLeft without dodge;
dodge also sufficient from UpperLeft (intentionally fall onto a block for extra height)
else seems good","(Garden03LeftLower | Garden03UpperRight) + (double_jump | high_jump)
| Garden03LeftUpper + (WALL_DASH + dodge | high_jump | double_jump)
| Garden03UpperLeft + (WALL_DASH | dodge | high_jump | double_jump)","(Garden03LeftLower | Garden03UpperRight) + (double_jump | high_jump)
| Garden03LeftUpper + (WALL_DASH + dodge | high_jump | double_jump)
| Garden03UpperLeft + (WALL_DASH | dodge | high_jump | double_jump)"
Garden 3,Garden 3 - Words on Land's End,Garden_001_Zone_003.BP_Interactable_AddItem_C_4,"tips[""tip_landend_01""]","((Garden03LeftLower | Garden03UpperRight | Garden03LeftUpper) +  (high_jump | (double_jump + dodge)))
| (Garden03UpperLeft + (dodge | double_jump | high_jump))",Not Labbed,,"Added extra parenthesis to fix red...
LeftUpper can reach this also with double_jump + WALL_DASH (similar to C1)","(Garden03LeftLower | Garden03UpperRight) + (high_jump | (double_jump + dodge))
| Garden03LeftUpper + (high_jump | (double_jump + (WALL_DASH | dodge)))
| Garden03UpperLeft + (dodge | double_jump | high_jump)","(Garden03LeftLower | Garden03UpperRight) + (high_jump | (double_jump + dodge))
| Garden03LeftUpper + (high_jump | (double_jump + (WALL_DASH | dodge)))
| Garden03UpperLeft + (dodge | double_jump | high_jump)"
Garden 3,Garden 3 - Battered Grimoire,Garden_001_Zone_003.BP_Interactable_AddItem_C_5,"passives[""damage_up_debuffed_1""]","((Garden03LeftLower | Garden03UpperRight | Garden03LeftUpper) + ((double_jump + dodge) | high_jump)) 
| (Garden03UpperLeft + (double_jump | dodge | high_jump))",Not Labbed,,seems good,,"((Garden03LeftLower | Garden03UpperRight | Garden03LeftUpper) + ((double_jump + dodge) | high_jump)) 
| (Garden03UpperLeft + (double_jump | dodge | high_jump))"
Garden 5,Garden 5 - Tripartite Magic Vial,Garden_001_Zone_005.EVT_ev_n_Levy_Treasure5_002,"stats[""passive_slot_l""]",(Garden05Left | Garden05Right) + (EVT_ev_s_e0233_Researcher_Defeat + quest_perfume),Not Labbed,Teacher needs to be moved here by finding all students,,,(Garden05Left | Garden05Right) + EVT_ev_s_e0233_Researcher_Defeat + EVT_ev_s_n0233_RescueSuccess_001 + quest_perfume
Garden 5,Garden 5 - Magic Amplifier,Garden_001_Zone_005.EVT_ev_s_0233_Researcher_002,"materials[""parts_lv4_b""]",Garden05Left | Garden05Right + EVT_ev_s_e0233_Researcher_Defeat + EVT_ev_s_n0233_RescueSuccess_001,Unsure,"Needs all students rescued, then speak to teacher in 09, move back to here and get item",,,Garden05Left | Garden05Right + EVT_ev_s_e0233_Researcher_Defeat + EVT_ev_s_n0233_RescueSuccess_001
Garden 6,Garden 6 - Magic Vial,Garden_001_Zone_006.BP_Breakable_SpawnItem_Pod_01_C_1,"stats[""passive_slot_s""]","((Garden06Right + (high_jump | (double_jump + wall_grab))) 
| (Garden06Left + (high_jump | (double_jump + (hook | WALL_DASH))))
| Garden06UpperDoor) 
+ (dash_charge + pile_attack)",Not Labbed,,"bare minimum reqs (from UpperDoor example):
height: ((dodge | double_jump) + wall_grab | high_jump) + dash_charge + pile_attack
Right can also use these minimums sans dodge
Garden06Left with dodge + hook + wall_grab
NOTE, double_jump does not need wall_grab (until second area anyway), dodge with no double_jump does (if you go the long way with the lever)","(Garden06UpperDoor + (high_jump | ((dodge | double_jump) + wall_grab)) 
| (Garden06Right + (high_jump | double_jump + wall_grab))
| (Garden06Left + (high_jump | (double_jump + (wall_grab + (hook | dodge) | WALL_DASH) | wall_grab + hook + dodge)) 
+ (dash_charge + pile_attack)","(Garden06UpperDoor + (high_jump | (dodge | double_jump) + wall_grab) 
| Garden06Right + (high_jump | double_jump + wall_grab)
| Garden06Left + (high_jump | double_jump + (wall_grab + (hook | dodge) | WALL_DASH) | wall_grab + hook + dodge)) 
+ dash_charge + pile_attack"
Garden 6,Garden 6 - Materials,Garden_001_Zone_006.BP_Interactable_AddItem_C_1,"currencies[""Default""]","Garden06UpperDoor 
| (Garden06Right + (high_jump | (double_jump + wall_grab + hook)))
| (Garden06Left + (high_jump | (double_jump + hook)))",Not Labbed,,"GardenLeft can also dodge + wall_grab + Lever(s) + hook (no double_jump req)
","Garden06UpperDoor 
| (Garden06Right + (high_jump | (double_jump + wall_grab + hook)))
| (Garden06Left + (high_jump | (double_jump + hook) | hook + dodge + wall_grab))","Garden06UpperDoor 
| (Garden06Right + (high_jump | (double_jump + wall_grab + hook)))
| (Garden06Left + (high_jump | (double_jump + hook) | hook + dodge + wall_grab))"
Garden 6,Garden 6 - Origin Gem Core,Garden_001_Zone_006.BP_Interactable_AddItem_C_2,"materials[""parts_lv6_a""]","(Garden02Right | ((Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever) | (Garden02LowerRight + (Garden02LowerRightRight_Lever)))
 + (WALL_DASH + double_jump + dodge)",Unsure,Requires wall dash from garden02,"fixed red...
any high_jump potential? - seems interchangable with dodge
note, double_jump is always required to break out of the WALL_DASH

also requires Researcher_Defeat, technically (otherwise the cutscene stops you! :) )","(Garden02Right | ((Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever) | (Garden02LowerRight + (Garden02LowerRightRight_Lever)))
 + (WALL_DASH + double_jump + (dodge | high_jump))","(Garden02Right | ((Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever) | (Garden02LowerRight + (Garden02LowerRightRight_Lever)))
 + (WALL_DASH + double_jump + (dodge | high_jump))"
Garden 6,Garden 6 - Unidentified Amplifier,Garden_001_Zone_006.BP_Interactable_TreasureBox_C_1,"materials[""parts_s5000_b""]","((Garden06Right + (high_jump | (double_jump + wall_grab))) 
| (Garden06Left + (high_jump | (double_jump + (hook | WALL_DASH))))
| Garden06UpperDoor) 
+ (dash_charge + pile_attack)",Not Labbed,,"Same exact requirements / comments as Breakable_SpawnItem (line81), copied from there!","(Garden06UpperDoor + (high_jump | ((dodge | double_jump) + wall_grab)) 
| ((Garden06Right + (high_jump | (double_jump + wall_grab))) 
| (Garden06Left + (high_jump | (double_jump + (wall_grab + (hook | dodge) | WALL_DASH) | wall_grab + hook + dodge)))) 
+ (dash_charge + pile_attack)","(Garden06UpperDoor + (high_jump | (dodge | double_jump) + wall_grab) 
| Garden06Right + (high_jump | double_jump + wall_grab)
| Garden06Left + (high_jump | double_jump + (wall_grab + (hook | dodge) | WALL_DASH) | wall_grab + hook + dodge)) 
+ dash_charge + pile_attack"
Garden 7,Garden 7 - Luiseach's Carapace,Garden_001_Zone_007.BP_Interactable_AddItem_C_1,"equipments[""shield_009""]",((Garden07LowerDoor | Garden07Upper) + (double_jump + dodge + (wall_grab | high_jump))),Not Labbed,,"double_jump + WALL_DASH also works
high_jump + double_jump + wall_grab added",(Garden07LowerDoor | Garden07Upper) + (double_jump + dodge + (wall_grab | high_jump) | high_jump + double_jump + wall_grab | double_jump + WALL_DASH),(Garden07LowerDoor | Garden07Upper) + (double_jump + dodge + (wall_grab | high_jump) | high_jump + double_jump + wall_grab | double_jump + WALL_DASH)
Garden 8,Garden 8 - Scrap,Garden_001_Zone_008.BP_Interactable_AddItem_C_1,"currencies[""rare""]",Garden08Right | Garden08Upper,Done,,good,,Garden08Right | Garden08Upper
Garden 11,Garden 11 - Luiseach,Garden_001_Zone_011.EVT_ev_s_e5070_Witch_Defeat,"spirits[""s5070_witch""]",Garden11Right,Done,,,,Garden11Right
Garden 14,Garden 14 - Charmed Fragment,Garden_001_Zone_014.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Garden14Right + dive) 
| (Garden14Left + TORRENT)",Not Labbed,,good,,"(Garden14Right + dive) 
| (Garden14Left + TORRENT)"
Kowloon 5,Kowloon 5 - Mother's Note,Kowloon_001_Zone_005.BP_Interactable_AddItem_C_0,"tips[""tip_mothersnote_01""]","Kowloon05UpperLeft 
| ((Kowloon05LowerLeft | Kowloon05Right) + (double_jump + wall_grab))",Not Labbed,,or high_jump,"Kowloon05UpperLeft 
| ((Kowloon05LowerLeft | Kowloon05Right) + (high_jump | double_jump + wall_grab))","Kowloon05UpperLeft 
| ((Kowloon05LowerLeft | Kowloon05Right) + (high_jump | double_jump + wall_grab))"
Kowloon 8,Kowloon 8 - Chief Attuner's Ring,Kowloon_001_Zone_008.BP_Interactable_AddItem_C_1,"passives[""restore_sp_up_a_1""]",Kowloon08Left | Kowloon08Right,Done,,good,,Kowloon08Left | Kowloon08Right
Kowloon 9,Kowloon 9 - Levy,Kowloon_001_Zone_009.BP_Trigger_Event_LevyTreasure_C_0,"quests[""quest_bird""]",Kowloon09Right | (Kowloon09Upper + Kowloon09Upper_Lever),Not Labbed,,"This should be Kowloon09HiddenRight?
Unsure on Item",Kowloon09HiddenRight | (Kowloon09Upper + Kowloon09Upper_Lever),Kowloon09HiddenRight | (Kowloon09Upper + Kowloon09Upper_Lever)
Kowloon 13,Kowloon 13 - Scrap,Kowloon_001_Zone_013.BP_Interactable_AddItem_C_1,"currencies[""rare""]","Kowloon13UpperRight 
| ((Kowloon13HiddenLower | Kowloon13UpperLeft) + (high_jump | wall_grab))",Not Labbed,,good,,"Kowloon13UpperRight 
| ((Kowloon13HiddenLower | Kowloon13UpperLeft) + (high_jump | wall_grab))"
Kowloon 18,Kowloon 18 - Charmed Fragment,Kowloon_001_Zone_018.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Kowloon18Left  + (wall_grab + (dodge | wall_charge)),Not Labbed,,good,,Kowloon18Left  + (wall_grab + (dodge | wall_charge))
Kowloon 21,Kowloon 21 - Magic Amplifier,Kowloon_001_Zone_021.BP_Interactable_AddItem_C_1,"materials[""parts_lv4_b""]","Kowloon21UpperLeft 
| (Kowloon21LowerLeft  + (high_jump | wall_grab))",Not Labbed,,I take it back - Entering from UpperLeft has a wall; must enter from LowerLeft and fight thru gauntlet,Kowloon21LowerLeft + (high_jump | wall_grab),Kowloon21LowerLeft + (high_jump | wall_grab)
Kowloon 26,Kowloon 26 - Materials,Kowloon_001_Zone_026.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Kowloon26Left | Kowloon26Right,Done,,good,,Kowloon26Left | Kowloon26Right
Kowloon 28,Kowloon 28 - Arena Tower Demon Mask,Kowloon_001_Zone_028.BP_Interactable_AddItem_C_0,"passives[""damage_up_skillcategory_defence_1""]",(Kowloon28Left | Kowloon28Right) + (high_jump | wall_grab),Not Labbed,,good,,(Kowloon28Left | Kowloon28Right) + (high_jump | wall_grab)
Kowloon 28,Kowloon 28 - Magic Amplifier,Kowloon_001_Zone_028.BP_Interactable_AddItem_C_1,"materials[""parts_lv4_b""]",(Kowloon28Left | Kowloon28Right) + (high_jump | wall_grab),Not Labbed,,good,,(Kowloon28Left | Kowloon28Right) + (high_jump | wall_grab)
Kowloon 29,Kowloon 29 - Scrap,Kowloon_001_Zone_029.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Kowloon29Left,Done,,good,,Kowloon29Left
Kowloon 31,Kowloon 31 - Grimoire,Kowloon_001_Zone_031.BP_Interactable_TreasureBox_C_0,"stats[""shop_line_up""]",Kowloon31Right,Done,,good,,Kowloon31Right
Kowloon 32,Kowloon 32 - Arena Tower Flyer,Kowloon_001_Zone_032.BP_Interactable_AddItem_C_0,"tips[""tip_fightingtower_01""]",Kowloon32Left,Done,,good,,Kowloon32Left
Kowloon 33,Kowloon 33 - Fugitive Researcher's Notes,Kowloon_001_Zone_033.BP_Interactable_AddItem_C_0,"tips[""tip_researchersjournal_01""]","Kowloon33Left 
| (Kowloon33Right + Kowloon34Lower_Lever)",Not Labbed,,good,,"Kowloon33Left 
| (Kowloon33Right + Kowloon34Lower_Lever)"
Kowloon 35,Kowloon 35 - Charmed Fragment,Kowloon_001_Zone_035.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Kowloon35Left | Kowloon35LowerRight) + (high_jump | (wall_grab + dodge + double_jump)),Not Labbed,,"updated Kowloon35Right -> Kowloon35LowerRight
otherwise good",,(Kowloon35Left | Kowloon35LowerRight) + (high_jump | wall_grab + dodge + double_jump)
Kowloon 36,Kowloon 36 - Magicite Hairpin,Kowloon_001_Zone_036.BP_Interactable_AddItem_C_0,"passives[""onkill_reduce_cooldowns_1""]",Kowloon36Right | Kowloon36UpperLeft | (Kowloon36LowerLeft + KowloonLeft_Lever),Not Labbed,,"or LowerCenterLeft :)
Lever name",Kowloon36Right | Kowloon36UpperLeft | ((Kowloon36CenterLowerLeft | Kowloon36LowerLeft) + Kowloon36Left_Lever),Kowloon36Right | Kowloon36UpperLeft | ((Kowloon36CenterLowerLeft | Kowloon36LowerLeft) + Kowloon36Left_Lever)
Kowloon 39,Kowloon 39 - Magic Vial,Kowloon_001_Zone_039.BP_Interactable_AddItem_C_0,"stats[""passive_slot_s""]","(Kowloon39LowerRight + high_jump + hook + (dodge | double_jump)) 
| (Kowloon39UpperRight + high_jump + ((double_jump + dodge) | WALL_DASH | hook))",Not Labbed,,"Added extra parenthesis to fix red...
UpperRight can reach with just high_jump + (dodge | double_jump | WALL_DASH | hook)","Kowloon39LowerRight + high_jump + hook + (dodge | double_jump) 
| Kowloon39UpperRight + high_jump + (double_jump | dodge | WALL_DASH | hook)","Kowloon39LowerRight + high_jump + hook + (dodge | double_jump) 
| Kowloon39UpperRight + high_jump + (double_jump | dodge | WALL_DASH | hook)"
Kowloon 39,Kowloon 39 - Materials,Kowloon_001_Zone_039.BP_Interactable_AddItem_C_1,"currencies[""Default""]","(Kowloon39LowerRight + high_jump + hook + pile_attack + (dodge | double_jump))
| (Kowloon39UpperRight + pile_attack + ((double_jump + dodge) | WALL_DASH | hook))",Not Labbed,,"Added extra parenthesis to fix red..
there is also high_jump + (double_jump | dodge) most likely 
heck, dodge + pile_attack is enough from upper","(Kowloon39LowerRight + high_jump + hook + (dodge | double_jump)
| Kowloon39UpperRight + (high_jump | double_jump | dodge | WALL_DASH | hook))
+ pile_attack","(Kowloon39LowerRight + high_jump + hook + (dodge | double_jump)
| Kowloon39UpperRight + (high_jump | double_jump | dodge | WALL_DASH | hook))
+ pile_attack"
Kowloon 39,Kowloon 39 - Spica,Kowloon_001_Zone_039.BP_Interactable_TreasureBox_C_0,"assists[""assist_006""]",Kowloon39UpperRight | Kowloon39LowerRight,Done,,good,,Kowloon39UpperRight | Kowloon39LowerRight
Kowloon 47,Kowloon 47 - Charmed Fragment,Kowloon_001_Zone_047.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Kowloon47Right + ((wall_grab + double_jump + dodge) | (WALL_DASH + (high_jump | double_jump))),Not Labbed,,"Need to add Kowloon47Lower?
this is accessible with WALL_DASH alone
also parenthesis fix",(Kowloon47Lower | Kowloon47Right) + (wall_grab + double_jump + dodge | WALL_DASH),(Kowloon47Lower | Kowloon47Right) + (wall_grab + double_jump + dodge | WALL_DASH)
Kowloon 47,Kowloon 47 - Origin Gem Core,Kowloon_001_Zone_047.BP_Interactable_AddItem_C_2,"materials[""parts_lv6_a""]",Kowloon47Right + WALL_DASH + (double_jump | high_jump),Not Labbed,,"Need to add Kowloon47Lower?
otherwise good",(Kowloon47Lower | Kowloon47Right) + WALL_DASH + (double_jump | high_jump),(Kowloon47Lower | Kowloon47Right) + WALL_DASH + (double_jump | high_jump)
Kowloon 51,Kowloon 51 - No.7,Kowloon_001_Zone_051.EVT_ev_s_e5050_Ronin_Defeat,"spirits[""s5050_ronin""]",Kowloon51Left | Kowloon51Right,Done,,,,Kowloon51Left | Kowloon51Right
Labo 1,Labo 1 - Lilia's Diary,Labo_001_Zone_001.BP_Interactable_AddItem_C_0,"tips[""tip_liliasdiary_01""]",Labo01Left | Labo01Upper | Labo01Right,Done,,good,,Labo01Left | Labo01Upper | Labo01Right
Labo 3,Labo 3 - Aggressor,Labo_001_Zone_003.EVT_ev_s_e5003_Reaper_Defeat,"materials[""parts_s5000_a""]",Labo03Left | Labo03Right,Done,,,,Labo03Left | Labo03Right
Labo 6,Labo 6 - Echo Device,Labo_001_Zone_006.BP_Interactable_TreasureBox_C_0,"passives[""damage_up_skillcategory_combo_1""]",Labo08CenterRight + WALL_DASH,Unsure,Need to wall dash from 08 through 16 and 15 into 06,"might need double_jump | high_jump | dodge to grab that wall
can also go as far back as Labo09",Labo08CenterRight + WALL_DASH + (double_jump | high_jump | dodge),Labo08CenterRight + WALL_DASH + (double_jump | high_jump | dodge)
Labo 7,Labo 7 - Materials,Labo_001_Zone_007.BP_Interactable_AddItem_C_1,"currencies[""Default""]","((Labo07Right | Labo07Left) + high_jump) 
| (Labo07Upper + (wall_grab | double_jump | dodge | high_jump))",Not Labbed,,"Added extra parenthesis to fix red..
Upper can actually make it without a single movement tech","(Labo07Right | Labo07Left) + high_jump
| Labo07Upper","(Labo07Right | Labo07Left) + high_jump
| Labo07Upper"
Labo 8,Labo 8 - Charmed Fragment,Labo_001_Zone_008.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Labo08Upper + pile_attack,Not Labbed,,good,,Labo08Upper + pile_attack
Labo 9,Labo 9 - Charmed Fragment,Labo_001_Zone_009.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Labo09Right | Labo09Left | (Labo09Upper + pile_attack)) + (high_jump | (wall_grab + double_jump)),Not Labbed,,"Added extra parenthesis to fix red...
good",,(Labo09UpperRight | Labo09LowerRight | Labo09Left | Labo09Upper + pile_attack) + (high_jump | wall_grab + double_jump)
Labo 10,Labo 10 - Magic Vial,Labo_001_Zone_010.BP_Interactable_TreasureBox_C_1,"stats[""passive_slot_s""]","(Labo06LowerLeft | Labo06Lower | Factory06CenterLeft | Factory06UpperLeft | Factory06Upper) 
+ WALL_DASH + Labo05Lower_Lever",Unsure,"Needs Access from Labo06 Through 07 08 05 09 into10
Lever in Labo05Lower also needs be be active","also unsure! something seems very wrong , im assuming theyre all supposed to be Labo",,Labo06LowerLeft + WALL_DASH + Labo05Lower_Lever
Labo 11,Labo 11 - Scrap,Labo_001_Zone_011.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Labo11Right + high_jump,Not Labbed,,Changed from Right -> LowerRight,Labo11LowerRight + high_jump,Labo11LowerRight + high_jump
Labo 17,Labo 17 - Crystallised Fusion,Labo_001_Zone_017.BP_Interactable_AddItem_C_0,"passives[""damage_cut_sp_gauge_1""]",Labo17Left + dive + (wall_grab | double_jump | dodge),Not Labbed,,or high_jump!,Labo17Left + dive + (high_jump | wall_grab | double_jump | dodge),Labo17Left + dive + (high_jump | wall_grab | double_jump | dodge)
Labo 18,Labo 18 - Charmed Fragment,Labo_001_Zone_018.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",((Labo18Left | Labo18RightDoor) + high_jump | (double_jump + wall_grab)) ,Not Labbed,,"think parenthesis need tweaking
can also WALL_DASH from Labo19",,(Labo18Left | Labo18RightDoor) + (high_jump | double_jump + wall_grab)
Labo 18,Labo 18 - Priestess' Tears,Labo_001_Zone_018.BP_Interactable_AddItem_C_2,"passives[""damage_up_sp_gauge_1""]","Labo18RightDoor 
| (Labo18Left + Labo18Right_Lever)",Not Labbed,,good,,"Labo18RightDoor 
| (Labo18Left + Labo18Right_Lever)"
Labo 19,Labo 19 - Scrap,Labo_001_Zone_019.BP_Interactable_AddItem_C_0,"currencies[""rare""]","(Labo19Lower + (high_jump | (double_jump + wall_grab))) 
| (Labo19Right + (dodge + double_jump + high_jump))",Unsure,"Can also be gotten using a wall dash from Labo18
Labo19Lower -> LowerCenter","Added extra parenthesis to fix red..
seems good aside from WALL_DASH comment",,"Labo19LowerCenter + (high_jump | double_jump + wall_grab) 
| Labo19Right + (dodge + double_jump + high_jump)"
